word,coeff
bon,-4.001765290957641
super,-4.302576068740288
pouvoir,-4.319533607414144
cool,-4.595571730650657
jouer,-4.629257369187912
faire,-4.703733175076787
pub,-4.79643124728365
graphisme,-4.836789700943058
adore,-4.885254202606177
niveau,-4.932454003063774
temps,-5.064564334889135
être,-5.081129820842594
aime,-5.109665377370989
personnage,-5.1116147248826245
mode,-5.118220002214031
arme,-5.120722227613846
étoile,-5.139480519788063
génial,-5.176080136599078
meilleur,-5.185070132862787
conseille,-5.208159937818511
